"Citation","Title","Page","Tuning"
"Levenson, 2006","Banjo Tramp",12,"aDADE"
"Levenson, 2006","Big John Mcneal",14,"aEAC#E"
"Levenson, 2006","Big Scioto",16,"gDGBD"
"Levenson, 2006","Bill Cheatem",18,"aEAC#E"
"Levenson, 2006","Billy In The Lowground",20,"gCGCD"
"Levenson, 2006","Black Eyed Susie",22,"aDADE"
"Levenson, 2006","Black Eyed Suzie-ANNA",24,"aEAC#E"
"Levenson, 2006","Blackberry Blossom",26,"gDGBD"
"Levenson, 2006","Boatman",28,"aEAC#E"
"Levenson, 2006","Bonaparte Crossing The Rhine",30,"aDADE"
"Levenson, 2006","Bonaparte's Retreat-1",32,"aDADE"
"Levenson, 2006","Bonaparte's Retreat- 2",34,"aDADE"
"Levenson, 2006","Breakin' Up Christmas",36,"aEAC#E"
"Levenson, 2006","Broken Down Gambler",38,"gDGBD"
"Levenson, 2006","Buffalo Gals. Kentucky Version In A",40,"aEAC#E"
"Levenson, 2006","Buffalo Gals. A More Common Melody",42,"gDGBD"
"Levenson, 2006","Bull At The Wagon",44,"aEAC#E "
"Levenson, 2006","Camp Chase",46,"aEAC#E "
"Levenson, 2006","Candy Girl",48,"gDGBD"
"Levenson, 2006","Cherokee Shuffle. Aka Lost Indian",50,"aDADE"
"Levenson, 2006","Chinese Breakdown",52,"aDADE"
"Levenson, 2006","Cindy",54,"aDADE"
"Levenson, 2006","Colored Aristocracy",56,"gDGBD"
"Levenson, 2006","Cotton Eyed Joe",58,"aEAC#E"
"Levenson, 2006","Crow Creek",60,"aEAC#E"
"Levenson, 2006","Cuffy",64,"gDGBD"
"Levenson, 2006","Dinah",66,"aEAC#E"
"Levenson, 2006","Dry And Dusty",68,"aDADE"
"Levenson, 2006","Durang's Hornpipe. Old Fiddlers Version",70,"aDADE"
"Levenson, 2006","Durang's Hornpipe. Newer Festival Version",72,"aDADE"
"Levenson, 2006","Ed Haley's Lost Indian",74,"aEAC#E"
"Levenson, 2006","( Mr ) Fischar's Hornpipe. Aka Fisher's Hornpipe",76,"aDADE"
"Levenson, 2006","Flop Eared Mule",78,"aDADE"
"Levenson, 2006","Fly Around My Pretty Little Miss. Aka Suzanna Gal. Aka Western Country",80,"aDADE"
"Levenson, 2006","Flying Indian",82,"gDGBD"
"Levenson, 2006","Georgia Railroad",84,"aEAC#E"
"Levenson, 2006","Grasshopper Sitting On A Sweet Potato Vine",86,"aDADE"
"Levenson, 2006","Green Willis, Aka The Raw Recruit",88,"aDADE"
"Levenson, 2006","Half Past Four",90,"aEAC#E"
"Levenson, 2006","Hangman's Reel In A",92,"aEAC#E"
"Levenson, 2006","Hangman's Reel In C",94,"gCGCD"
"Levenson, 2006","Hollow Poplar",96,"gDGBD"
"Levenson, 2006","Icy Mountain",98,"aEAC#E"
"Levenson, 2006","Indian Eat The Woodchuck",100,"aDADE"
"Levenson, 2006","Jaybird",102,"aDADE"
"Levenson, 2006","Jeff Sturgeon",104,"aEAC#E"
"Levenson, 2006","Jenny Git Around",106,"aEAC#"
"Levenson, 2006","Jimmy In The Swamp",108,"gDGBD"
"Levenson, 2006","John Brown's Dream",110,"aEAC#E"
"Levenson, 2006","John Browns March",112,"gDGBD"
"Levenson, 2006","John Henry",114,"aEAC#E"
"Levenson, 2006","John Lover's Gone",116,"aDADE"
"Levenson, 2006","John Stenson's #2",118,"aEAC#E"
"Levenson, 2006","Johnny Cope",120,"aEAC#E"
"Levenson, 2006","Johnny Don'T Get Drunk",122,"aDADE"
"Levenson, 2006","Joke On The Puppy",124,"aDADE"
"Levenson, 2006","Julianne Johnson",126,"aDADE"
"Levenson, 2006","Jumpin The Well My Pretty Little Miss",128,"aEAC#E"
"Levenson, 2006","Jump Jim Crow",130,"aDADE"
"Levenson, 2006","June Apple",132,"aEAC#E"
"Levenson, 2006","Kansas City Reel",134,"aEAC#E"
"Levenson, 2006","Kitchen Girl",136,"aEAC#E"
"Levenson, 2006","Leather Britches",138,"gDGBD"
"Levenson, 2006","Liberty",140,"aDADE"
"Levenson, 2006","Little Billie Wilson",142,"aEAC#E"
"Levenson, 2006","Little Rabbit",144,"aEAC#"
"Levenson, 2006","Liza Poor Gal",146,"aEAC#E"
"Levenson, 2006","Logan County Blues",148,"aDADE"
"Levenson, 2006","Lost Indian-1 -Straight, Major Version. AKA Cherokee Shuffle",150,"aEAC#E"
"Levenson, 2006","Lost Indian-2 - Crooked Modal Version. AKA Cherokee Shuffle",152,"aEAC#E"
"Levenson, 2006","Lost Indian-3 - In D",154,"aDADE"
"Levenson, 2006","Magpie",156,"gDGBD"
"Levenson, 2006","Martha Campbell",158,"aDADE"
"Levenson, 2006","Mole In The Ground. Aka Tempy",160,"aDADE"
"Levenson, 2006","Monkey On  Dogcart",162,"gCGCD"
"Levenson, 2006","Muddy Roads",164,"aDADE"
"Levenson, 2006","New Five Cents",166,"aDADE"
"Levenson, 2006","Nixon's Farewell",168,"aDADE"
"Levenson, 2006","North Carolina Breakdown",170,"gDGBD"
"Levenson, 2006","Old Bunch Of Keys",172,"aEAC#E"
"Levenson, 2006","Old Joe Clark-1. Major Version",174,"aEAC#E"
"Levenson, 2006","Old Joe Clark-2. Modal Version",176,"aEAC#E"
"Levenson, 2006","Old Mother Flanagan",178,"aEAC#E"
"Levenson, 2006","Pike's Peak. Aka-RAT Cheese Under The Hill. Aka- Natches Under The Hill",180,"gCGCD"
"Levenson, 2006","Possum In A Well",182,"aDADE"
"Levenson, 2006","Possum On A Rail",184,"gDGBD"
"Levenson, 2006","Quince Dillon's High D",186,"aDADE"
"Levenson, 2006","Rachael. Aka Texas Quickstep",188,"aDADE"
"Levenson, 2006","Ragtime Annie",190,"aDADE"
"Levenson, 2006","Railroading Across The Rocky Mountains. Aka. Marmaduke's Hornpipe",192,"aDADE"
"Levenson, 2006","Red Haired Boy. Aka Little Beggerman",194,"aEAC#E"
"Levenson, 2006","Reuben's Train",196,"aEAC#E"
"Levenson, 2006","Rochester Schottische",198,"aDADE"
"Levenson, 2006","Rocky Pallet",200,"gCGCD"
"Levenson, 2006","Roscoe",202,"gDGBD"
"Levenson, 2006","Rush And The Pepper",204,"aDADE"
"Levenson, 2006","Saint Anne's Reel",206,"aDADE"
"Levenson, 2006","Sally Anne Johnson",208,"aDADE"
"Levenson, 2006","Sandy Boys.  Boiled Buzzard Album Version",210,"aEAC#E"
"Levenson, 2006","Sandy Boys",212,"aEAC#"
"Levenson, 2006","Sandy River Belle",214,"gDGBD"
"Levenson, 2006","Sarah Armstrong's Tune",216,"aDADE"
"Levenson, 2006","Shuffle About",218,"aDADE"
"Levenson, 2006","Smith's Reel",220,"aDADE"
"Levenson, 2006","Staten Island Hornpipe",222,"aDADE"
"Levenson, 2006","Sugar In The Gourd",224,"aEAC#E"
"Levenson, 2006","Texas Gals",226,"gCGCD"
"Levenson, 2006","Tom And Jerry",228,"aEAC#E"
"Levenson, 2006","Too Young To Marry. Aka Sweet Sixteen. Aka My Love Is But A Lass",230,"aDADE"
"Levenson, 2006","Wake Up Susan",232,"aEAC#E"
"Levenson, 2006","Walking In My Sleep",234,"gDGBD"
"Levenson, 2006","Washington's March",236,"aDADE"
"Levenson, 2006","Ways Of The World",238,"aEAC#E"
"Levenson, 2006","Whiskey Before Breakfast",240,"aDADE"
"Levenson, 2006","Whistling Rufus",242,"gDGBD"
"Levenson, 2006","Yellow Rose Of Texas",244,"aDADE"
